step,condition,waiting_time,queue_length
0,ppo_only,0.0,0
1,ppo_only,0.0,0
2,ppo_only,0.0,0
3,ppo_only,0.0,0
4,ppo_only,0.0,0
5,ppo_only,0.0,0
6,ppo_only,0.0,0
7,ppo_only,0.0,0
8,ppo_only,0.0,0
9,ppo_only,0.0,0
10,ppo_only,0.0,0
11,ppo_only,0.0,0
12,ppo_only,0.0,0
13,ppo_only,0.0,0
14,ppo_only,0.0,0
15,ppo_only,0.0,0
16,ppo_only,0.0,0
17,ppo_only,1.0,1
18,ppo_only,0.0,0
19,ppo_only,2.0,1
20,ppo_only,0.0,0
21,ppo_only,0.0,0
22,ppo_only,0.0,0
23,ppo_only,0.0,0
24,ppo_only,0.0,0
25,ppo_only,0.0,0
26,ppo_only,0.0,0
27,ppo_only,0.0,0
28,ppo_only,0.0,0
29,ppo_only,0.0,0
30,ppo_only,0.0,0
31,ppo_only,0.0,0
32,ppo_only,0.0,0
33,ppo_only,0.0,0
34,ppo_only,0.0,0
35,ppo_only,0.0,0
36,ppo_only,0.0,0
37,ppo_only,0.0,0
38,ppo_only,0.0,0
39,ppo_only,0.0,0
40,ppo_only,0.0,0
41,ppo_only,0.0,0
42,ppo_only,0.0,0
43,ppo_only,4.0,1
44,ppo_only,0.0,0
45,ppo_only,0.0,0
46,ppo_only,0.0,0
47,ppo_only,0.0,0
48,ppo_only,0.0,0
49,ppo_only,0.0,0
50,ppo_only,0.0,0
51,ppo_only,0.0,0
52,ppo_only,0.0,0
53,ppo_only,0.0,0
54,ppo_only,0.0,0
55,ppo_only,0.0,0
56,ppo_only,0.0,0
57,ppo_only,0.0,0
58,ppo_only,0.0,0
59,ppo_only,0.0,0
60,ppo_only,5.0,1
61,ppo_only,10.0,1
62,ppo_only,15.0,1
63,ppo_only,20.0,1
64,ppo_only,25.0,1
65,ppo_only,30.0,1
66,ppo_only,35.0,1
67,ppo_only,40.0,1
68,ppo_only,45.0,1
69,ppo_only,50.0,1
70,ppo_only,55.0,1
71,ppo_only,60.0,1
72,ppo_only,65.0,1
73,ppo_only,70.0,1
74,ppo_only,75.0,1
75,ppo_only,80.0,1
76,ppo_only,85.0,1
77,ppo_only,90.0,1
78,ppo_only,95.0,1
79,ppo_only,100.0,1
80,ppo_only,105.0,1
81,ppo_only,110.0,1
82,ppo_only,115.0,1
83,ppo_only,120.0,1
84,ppo_only,125.0,1
85,ppo_only,130.0,1
86,ppo_only,135.0,1
87,ppo_only,140.0,1
88,ppo_only,145.0,1
89,ppo_only,150.0,1
90,ppo_only,155.0,1
91,ppo_only,160.0,1
92,ppo_only,165.0,1
93,ppo_only,173.0,2
94,ppo_only,183.0,2
95,ppo_only,193.0,2
96,ppo_only,203.0,2
97,ppo_only,213.0,2
98,ppo_only,223.0,2
99,ppo_only,233.0,2
100,ppo_only,243.0,2
101,ppo_only,253.0,2
102,ppo_only,263.0,2
103,ppo_only,273.0,2
104,ppo_only,283.0,2
105,ppo_only,293.0,2
106,ppo_only,303.0,2
107,ppo_only,313.0,2
108,ppo_only,323.0,2
109,ppo_only,333.0,2
110,ppo_only,343.0,2
111,ppo_only,353.0,2
112,ppo_only,363.0,2
113,ppo_only,373.0,2
114,ppo_only,383.0,2
115,ppo_only,393.0,2
116,ppo_only,403.0,2
117,ppo_only,413.0,2
118,ppo_only,423.0,2
119,ppo_only,433.0,2
120,ppo_only,138.0,1
121,ppo_only,143.0,1
122,ppo_only,148.0,1
123,ppo_only,153.0,1
124,ppo_only,158.0,1
125,ppo_only,163.0,1
126,ppo_only,168.0,1
127,ppo_only,173.0,1
128,ppo_only,178.0,1
129,ppo_only,183.0,1
130,ppo_only,188.0,1
131,ppo_only,193.0,1
132,ppo_only,198.0,1
133,ppo_only,203.0,1
134,ppo_only,208.0,1
135,ppo_only,213.0,1
136,ppo_only,218.0,1
137,ppo_only,223.0,1
